gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
Rydberg-atom data register, Rydberg-atom data, Quantum-state information retrieval, subpicosecond half-cycle electric, retrieve phase information, half-cycle electric field, electric field pulse, quantum search protocol, data register, Quantum-state information, analyze a quantum, protocol to retrieve, Rydberg-atom, information retrieval, subpicosecond half-cycle, half-cycle electric, phase retrieval, phase information, electric field, phase retrieval process
stochastic averaging approach, nonlinear systems, feedback stochastic controls, Ito stochastic differential, stochastic averaging, feedback control design, feedback control, random excitations, excitations This paper, paper presents, designing and quantifying, amplitude process, stochastic differential equation, Ito stochastic, averaging approach, response amplitude process, stochastic, feedback stochastic, stochastic controls, systems under random
Women in computing, undergraduate level, world This paper, paper describes, computing, Women, participation, affect women participation, level, affect women, women participation, world, paper, describes, focussing, undergraduate, countries, discussion covers, covers how societal, societal and cultural
quantum full adder, scalable nuclear spin, chain quantum computer, nuclear spin quantum, full adder, quantum full, spin chain quantum, quantum computer, scalable nuclear, strategy for implementation, quantum, nuclear spin, implementation a quantum, full, chain quantum, spin quantum, adder, spin chain, computer, chain
Web services, Web, called Web services, wrinkle, innovation called Web, called Web, Internet-related innovation called, financial sector produced, technology, wave of Internet-related, Internet-related innovation, services, economy years, Hmm, share of technology, technology hype, bets on Web, financial sector, sector produced, produced its share
product-support logistics system, Agent-based product-support logistics, product-support logistics, maintenance services, service parts, provision of maintenance, competitiveness of industrial, logistics system, Agent-based product-support, timely provision, Resource Description Framework, product-support, industrial systems, logistics, services and service, RDF, XML and RDF, XML, parts is critical, parts distributors
abelian branched coverings, finite abelian groups, weak equivalence classes, m-branch points, branched coverings, weak equivalence, obtain an enumeration, equivalence classes, finite abelian, abelian groups, abelian branched, enumeration formula, sphere We obtain, sphere with m-branch, sphere, number of weak, abelian, branched, enumerating the weak, explicit formula
matrix operator rho, simple mixed state, mixed state characterized, special entangled state, fully entangled state, entangled state, unity matrix, matrix operator, Frontier between separability, operator rho, system We discuss, simple mixed, separable states, mixed state, state characterized, phi, fully random spins, spin system, state, special entangled
Electronic Case File, Case File system, DOS dog days, successful e-filing venture, Case Management, Electronic Case, Case File, Management and Electronic, DOS dog, File system, United States Courts, law firms, successful e-filing, e-filing venture, dog days, poster child, system now rolling, district and bankruptcy, Case, bankruptcy courts
time delay control, integral sliding surface, robotic excavator, heavy-duty robotic excavator, sliding surface, heavy-duty excavator vary, robotic excavators increases, mechanical structures, integral sliding, time delay, variations in mechanical, nonlinearities in hydraulic, hydraulic actuators, actuators and disturbance, disturbance due, excavator, robotic, parameter variations, delay control, Control
discrete chaotic processes, finite sample, estimating discrete chaotic, discrete chaotic, approaches are discussed, Optimal estimation, optimal algorithms, chaotic process, estimating discrete, sample is considered, synthesis of optimal, sample, finite, discrete, Optimal, chaotic, process The synthesis, algorithms for estimating, process, considered
