data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
software developers focus, Text, aims to propose, elicitation, highlights the potential, Analysis, Text Mining Analysis Requirement, developers focus on obtaining, Mining, Validating Requirement Specification, method, requirement engineering where software
produced billions of articles, articles, development of communications, proposed, textual data mining, Algorithm, Mining The digital revolution, results showed the effectiveness, social media have produced, communications and social media, artificial intelligence applications based, Lightweight
information embedded, Care, government policy inclinations, Latent Dirichlet Allocation-Based Model, texts reflects the government, Allocation-Based Model for Mining, Mining, China Intelligent Elderly Care, implementation topics, policy text mining model, Dirichlet, Elderly Care Policy
build a control, Method, Corpus based on Text, pairs in the Chinese-English, probability methods to build, control corpus, Machine, Method of Machine Translation, Text Mining The principle, statistics and probability methods, Machine Translation Equivalent Pairs, Chinese-English Comparable Corpus based
Text, graphs, Text Summarization This paper, Tool, reflect about the main, paper presents, Mining, extract graphs from texts, tool helped students reflect, presents a mining tool, Mining Tool to Support, supported the writing
Step Performed and Sequence, Diagram Based on Text, built are successful, consistency between Step Performed, recommendations for fixing artifacts, Sequence Diagram Based, Software Requirements Specification, match the client, Based on Text Mining, Mining on SRS Digibrary, SRS, SRS document consistency process
large amount of texts, art of extracting data, data from large amount, text mining Text mining, defined, discovery, Pattern, technique, data, text, art, mining
precise teaching design, begun to apply, technology to education management, Combining BERT and FastText, development of artificial, artificial intelligence technology, educational text sentiment analysis, technology, text, model combining BERT, apply text mining, analysis of the text
syndromes based on text, search literature in Pubmed, research focused, intrinsic biological distinctions, Chinese, study on traditional Chinese, deficiency, traditional Chinese medicine syndromes, compositions of characteristic, text mining method Objective, pattern, NEI
Study on R Packages, Term Frequency-Inverse Document Frequency, machine learning methods, processing of the information, Science knowledge Area Groups, Text Mining, Data Science, provide valuable, Study, Comparative Study, insights from textual data, statistical and machine learning
HASH table, Based on Concept Vector, Based, association rule approach FHAR, Rule, FHAR algorithm is presented, semantic, determine the concept, Text Association, rule approach FHAR algorithm, FHAR, Vector
Latent Dirichlet Allocation, treatment path, Long, Long COVID using text, characterize narrative medicine texts, suggest that the testimonies, adequate survey, text mining, narrative, definition and implementation, implementation of an effective, medicine texts written
Policy, Framework Based on Text, Based, Text Mining Nowadays, apply big data, Policy Modeling Consistency, Modular Policy Evaluation, Based on Text Mining, big data era, data processing technology facilitates, sufficient information, Policy Evaluation Framework Based
